code,title,class_kind,parent,module
1G60.1,Pythiosis,category,,MMS
1G60.2,Protothecosis,category,,MMS
2A01.0,Meningiomas,category,,MMS
2A20.03,Naegeli-type monocytic leukaemia,category,,MMS
2A21,Mastocytosis,category,,MMS
2A60.2,Therapy-related myeloid neoplasms,category,,MMS
2A60.2Z,"Therapy-related myeloid neoplasms,unspecified",category,,MMS
2A81.4,T-cell/histiocyte rich large B-cell lymphoma,category,,MMS
2A81.6,Epstein-Barr virus-positive diffuse large B cell lymphoma of the elderly,category,,MMS
2A81.8,ALK-positive large B-cell lymphoma,category,,MMS
2A82.1,B-cell prolymphocytic leukaemia,category,,MMS
2A82.10,B-cell prolymphocytic leukaemia in complete remission,category,,MMS
2A82.1Z,"B-cell prolymphocytic leukaemia,unspecified",category,,MMS
2A82.2,Hairy-cell leukaemia,category,,MMS
2A86,"B-cell lymphoma,mixed features",category,,MMS
2A86.1,B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma,category,,MMS
2A86.2,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,category,,MMS
2A86.Z,"B-cell lymphoma,mixed features,unspecified",category,,MMS
2A90.0,T-cell prolymphocytic leukaemia,category,,MMS
2A90.1,T-cell large granular lymphocytic leukaemia,category,,MMS
2B30.11,Lymphocyte-rich classical Hodgkin lymphoma,category,,MMS
2B32,Immunodeficiency-associated lymphoproliferative disorders,category,,MMS
2B32.0,"Post-transplant lymphoproliferative disorder,early lesion",category,,MMS
2B32.2,"Post-transplant lymphoproliferative disorder,Infectious mononucleosis-like",category,,MMS
2B32.Z,"Immunodeficiency-associated lymphoproliferative disorders,unspecified",category,,MMS
2C12.01,Hepatoblastoma,category,,MMS
2D02.2,Retinoblastoma,category,,MMS
2E80.0,Lipoma,category,,MMS
2E80.1,Lipoblastoma,category,,MMS
2E86.2,Rhabdomyoma,category,,MMS
2F23.0,Dermatofibroma,category,,MMS
2F37.0,Non-secreting pituitary adenoma,category,,MMS
2F72.0,Keratoacanthoma,category,,MMS
3A01.5,Drug-induced vitamin #REF! deficiency anaemia,category,,MMS
3A02.4,Drug-induced folate deficiency anaemia,category,,MMS
3A50,Thalassaemias,category,,MMS
3A70.10,Drug-induced aplastic anaemia,category,,MMS
3B60,Non-thrombocytopenic purpura,category,,MMS
3B61,Thrombophilia,category,,MMS
3B61.00,Hyperhomocysteinaemia,category,,MMS
3B62.00,Alpha-granule diseases,category,,MMS
3B62.4,Alpha-delta dense granule deficiency,category,,MMS
3B63,Thrombocytosis,category,,MMS
3B64,Thrombocytopenia,category,,MMS
3B64.12,Drug-induced thrombocytopenic purpura,category,,MMS
3B81.0,Tumour-like conditions of spleen,category,,MMS
3B81.4,Splenosis,category,,MMS
3B81.A,Perisplenitis,category,,MMS
3B81.B,Hypersplenism,category,,MMS
4A01.32,Immuno-osseous dysplasia,category,,MMS
4A20.0,Adult-onset Immunodeficiency,category,,MMS
4A40.1,Drug-induced lupus erythematosus,category,,MMS
4A41.0,Dermatomyositis,category,,MMS
4A41.1,Polymyositis,category,,MMS
4A44,Vasculitis,category,,MMS
4A60.1,Cryopyrin-associated periodic syndromes,category,,MMS
4A80.0,Drug-induced bronchospasm,category,,MMS
4A83.0,Food-induced eosinophilic gastroenteritis,category,,MMS
4A83.1,Food-induced eosinophilic oesophagitis,category,,MMS
4A84,Anaphylaxis,category,,MMS
4A84.1,Drug-induced Anaphylaxis,category,,MMS
4A84.30,Exercise-induced Anaphylaxis,category,,MMS
4A84.31,Cold-induced Anaphylaxis,category,,MMS
4A85.00,Drug-induced liver hypersensitivity disease,category,,MMS
4A85.01,Drug-induced kidney hypersensitivity,category,,MMS
4A85.02,Drug-induced cytopenia,category,,MMS
4A85.03,Drug-induced Vasculitis,category,,MMS
4A85.20,Food-induced gastrointestinal hypersensitivity,category,,MMS
4A85.21,Food-induced urticaria or angioedema,category,,MMS
4B00.0,Neutropaenia,category,,MMS
4B00.1,Neutrophilia,category,,MMS
4B02,Eosinopenia,category,,MMS
4B03,Eosinophilia,category,,MMS
4B20,Sarcoidosis,category,,MMS
4B20.3,Neurosarcoidosis,category,,MMS
4B22,Cryoglobulinaemia,category,,MMS
4B24,Graft-versus-host disease,category,,MMS
4B24.Z,"Graft-versus-host disease,unspecified",category,,MMS
5A00,Hypothyroidism,category,,MMS
5A00.1,Iodine-deficiency-related thyroid disorders or allied conditions,category,,MMS
5A00.10,Iodine-deficiency-related diffuse goitre,category,,MMS
5A00.11,Iodine-deficiency-related multinodular goitre,category,,MMS
5A00.1Z,"Iodine-deficiency-related thyroid disorders or allied conditions,unspecified",category,,MMS
5A02,Thyrotoxicosis,category,,MMS
5A03,Thyroiditis,category,,MMS
5A06,Sick-euthyroid syndrome,category,,MMS
5A12,Malnutrition-related diabetes mellitus,category,,MMS
5A43.0,Drug-induced hypergastrinaemia,category,,MMS
5A43.1,Zollinger-Ellison syndrome,category,,MMS
5A44,Insulin-resistance syndromes,category,,MMS
5A50,Hypoparathyroidism,category,,MMS
5A50.1,Pseudohypoparathyroidism,category,,MMS
5A51,Hyperparathyroidism,category,,MMS
5A60.1,Hyperprolactinaemia,category,,MMS
5A61.0,Hypopituitarism,category,,MMS
5A70.0,pituitary-dependent Cushing disease,category,,MMS
5A70.2,Pseudo-Cushing syndrome,category,,MMS
5A72,Hyperaldosteronism,category,,MMS
5A73,Hypoaldosteronism,category,,MMS
5A80.3,Anovulation,category,,MMS
5A80.4,Oligo-ovulation,category,,MMS
5B56.0,Scurvy,category,,MMS
5B5A.0,Beriberi,category,,MMS
5B5A.1,Wernicke-Korsakoff syndrome,category,,MMS
5B5A.1Z,"Wernicke-Korsakoff syndrome,unspecified",category,,MMS
5B5C.0,Pellagra,category,,MMS
5B80.0,Overweight,category,,MMS
5B81,Obesity,category,,MMS
5B81.1,Drug-induced Obesity,category,,MMS
5B90.1,Hypercarotenaemia,category,,MMS
5B90.3,Megavitamin-#REF! syndrome,category,,MMS
5B91.0,Hypercalcaemia,category,,MMS
5C50.0,Phenylketonuria,category,,MMS
5C50.10,Alkaptonuria,category,,MMS
5C50.20,Histidinaemia,category,,MMS
5C50.71,Sarcosinaemia,category,,MMS
5C50.A2,Argininaemia,category,,MMS
5C50.A3,Citrullinaemia,category,,MMS
5C50.D0,Maple-syrup-urine disease,category,,MMS
5C50.F1,Carnosinaemia,category,,MMS
5C50.F2,Homocarnosinosis,category,,MMS
5C50.G,Trimethylaminuria,category,,MMS
5C51.40,Galactose-1-phosphate uridyltransferase deficiency,category,,MMS
5C52.03,Sj枚gren-Larsson syndrome,category,,MMS
5C55.00,Xanthinuria,category,,MMS
5C55.01,Lesch-Nyhan syndrome,category,,MMS
5C56.0,Sphingolipidosis,category,,MMS
5C56.00,Gangliosidosis,category,,MMS
5C56.2,Glycoproteinosis,category,,MMS
5C56.20,Mucolipidosis,category,,MMS
5C56.21,Oligosaccharidosis,category,,MMS
5C56.3,Mucopolysaccharidosis,category,,MMS
5C58.00,Crigler-Najjar syndrome,category,,MMS
5C58.02,Dubin-Johnson syndrome,category,,MMS
5C58.1,Porphyrias,category,,MMS
5C5A,Alpha-1-antitrypsin deficiency,category,,MMS
5C60.1,Cystinosis,category,,MMS
5C60.2,Cystinuria,category,,MMS
5C61.0,Glucose-Galactose malabsorption,category,,MMS
5C61.1,Maltase-glucoamylase deficiency,category,,MMS
5C64.40,Hypermagnesaemia,category,,MMS
5C64.41,Hypomagnesaemia,category,,MMS
5C70.0,Dehydration,category,,MMS
5C70.1,Hypovolaemia,category,,MMS
5C72,Hypo-osmolality or hyponatraemia,category,,MMS
5C73,Acidosis,category,,MMS
5C74,Alkalosis,category,,MMS
5C76,Hyperkalaemia,category,,MMS
5C77,Hypokalaemia,category,,MMS
5C80,Hyperlipoproteinaemia,category,,MMS
5C80.0,Hypercholesterolaemia,category,,MMS
5C80.1,Hypertriglyceridaemia,category,,MMS
5C80.3,Hyperalphalipoproteinaemia,category,,MMS
5C81,Hypolipoproteinaemia,category,,MMS
5C81.0,Hypoalphalipoproteinaemia,category,,MMS
5C81.1,Hypobetalipoproteinaemia,category,,MMS
5D00,Amyloidosis,category,,MMS
5D00.21,Non-neuropathic heredofamilial Amyloidosis,category,,MMS
5D00.3,Dialysis-associated Amyloidosis,category,,MMS
6A20,Schizophrenia,category,,MMS
6B02,Agoraphobia,category,,MMS
6B20,Obsessive-compulsive disorder,category,,MMS
6B20.0,Obsessive-compulsive disorder with fair to good insight,category,,MMS
6B20.1,Obsessive-compulsive disorder with poor to absent insight,category,,MMS
6B20.Z,"Obsessive-compulsive disorder,unspecified",category,,MMS
6B23,Hypochondriasis,category,,MMS
6B25,Body-focused repetitive behaviour disorders,category,,MMS
6B25.0,Trichotillomania,category,,MMS
6B25.Z,"Body-focused repetitive behaviour disorders,unspecified",category,,MMS
6B2Z,"Obsessive-compulsive or related disorders,unspecified",category,,MMS
6B66,Depersonalization-derealization disorder,category,,MMS
6B83,Avoidant-restrictive Food intake disorder,category,,MMS
6B84,Pica,category,,MMS
6B85,Rumination-regurgitation disorder,category,,MMS
6C00,Enuresis,category,,MMS
6C01,Encopresis,category,,MMS
6C40.5,Alcohol-induced delirium,category,,MMS
6C40.6,Alcohol-induced psychotic disorder,category,,MMS
6C40.60,Alcohol-induced psychotic disorder with hallucinations,category,,MMS
6C40.61,Alcohol-induced psychotic disorder with delusions,category,,MMS
6C40.62,Alcohol-induced psychotic disorder with mixed psychotic symptoms,category,,MMS
6C40.6Z,"Alcohol-induced psychotic disorder,unspecified",category,,MMS
6C40.70,Alcohol-induced mood disorder,category,,MMS
6C40.71,Alcohol-induced anxiety disorder,category,,MMS
6C41.5,Cannabis-induced delirium,category,,MMS
6C41.6,Cannabis-induced psychotic disorder,category,,MMS
6C41.70,Cannabis-induced mood disorder,category,,MMS
6C41.71,Cannabis-induced anxiety disorder,category,,MMS
6C43.5,Opioid-induced delirium,category,,MMS
6C43.6,Opioid-induced psychotic disorder,category,,MMS
6C43.70,Opioid-induced mood disorder,category,,MMS
6C43.71,Opioid-induced anxiety disorder,category,,MMS
6C45.5,Cocaine-induced delirium,category,,MMS
6C45.6,Cocaine-induced psychotic disorder,category,,MMS
6C45.60,Cocaine-induced psychotic disorder with hallucinations,category,,MMS
6C45.61,Cocaine-induced psychotic disorder with delusions,category,,MMS
6C45.62,Cocaine-induced psychotic disorder with mixed psychotic symptoms,category,,MMS
6C45.6Z,"Cocaine-induced psychotic disorder,unspecified",category,,MMS
6C45.70,Cocaine-induced mood disorder,category,,MMS
6C45.71,Cocaine-induced anxiety disorder,category,,MMS
6C45.72,Cocaine-induced Obsessive-compulsive or related disorder,category,,MMS
6C45.73,Cocaine-induced impulse control disorder,category,,MMS
6C46.5,"Stimulant-induced delirium including amphetamines,methamphetamine or methcathinone",category,,MMS
6C46.6,"Stimulant-induced psychotic disorder including amphetamines,methamphetamine or methcathinone",category,,MMS
6C46.60,"Stimulant-induced psychotic disorder including amphetamines,methamphetamine or methcathinone with hallucinations",category,,MMS
6C46.61,"Stimulant-induced psychotic disorder including amphetamines,methamphetamine or methcathinone with delusions",category,,MMS
6C46.62,Stimulant-induced psychotic disorder including amphetamines but excluding caffeine or Cocaine with mixed psychotic symptoms,category,,MMS
6C46.6Z,"Stimulant-induced psychotic disorder including amphetamines,methamphetamine or methcathinone,unspecified",category,,MMS
6C46.70,"Stimulant-induced mood disorder including amphetamines,methamphetamine or methcathinone",category,,MMS
6C46.71,"Stimulant-induced anxiety disorder including amphetamines,methamphetamine or methcathinone",category,,MMS
6C46.72,"Stimulant-induced Obsessive-compulsive or related disorder including amphetamines,methamphetamine or methcathinone",category,,MMS
6C46.73,"Stimulant-induced impulse control disorder including amphetamines,methamphetamine or methcathinone",category,,MMS
6C48.40,caffeine-induced anxiety disorder,category,,MMS
6C49.4,Hallucinogen-induced delirium,category,,MMS
6C49.5,Hallucinogen-induced psychotic disorder,category,,MMS
6C49.60,Hallucinogen-induced mood disorder,category,,MMS
6C49.61,Hallucinogen-induced anxiety disorder,category,,MMS
6C4E.72,Obsessive-compulsive or related disorder induced by other specified psychoactive substance,category,,MMS
6C4F.72,Obsessive-compulsive or related disorder induced by multiple specified psychoactive substances,category,,MMS
6C4G.72,Obsessive-compulsive or related disorder induced by unknown or unspecified psychoactive substance,category,,MMS
6C70,Pyromania,category,,MMS
6C71,Kleptomania,category,,MMS
6C91,Conduct-dissocial disorder,category,,MMS
6C91.0,"Conduct-dissocial disorder,childhood onset",category,,MMS
6C91.00,"Conduct-dissocial disorder,childhood onset with limited prosocial emotions",category,,MMS
6C91.01,"Conduct-dissocial disorder,childhood onset with typical prosocial emotions",category,,MMS
6C91.0Z,"Conduct-dissocial disorder,childhood onset,unspecified",category,,MMS
6C91.1,"Conduct-dissocial disorder,adolescent onset",category,,MMS
6C91.10,"Conduct-dissocial disorder,adolescent onset with limited prosocial emotions",category,,MMS
6C91.11,"Conduct-dissocial disorder,adolescent onset with typical prosocial emotions",category,,MMS
6C91.Z,"Conduct-dissocial disorder,unspecified",category,,MMS
6D70,delirium,category,,MMS
6E40.4,Stress-related physiological response affecting disorders or diseases classified elsewhere,category,,MMS
7A01,Short-term insomnia,category,,MMS
7A20,Narcolepsy,category,,MMS
7A22,Kleine-Levin syndrome,category,,MMS
7A40.7,Treatment-emergent central Sleep apnoea,category,,MMS
7A42,Sleep-related hypoventilation or hypoxemia disorders,category,,MMS
7A42.2,Non-congenital central hypoventilation with hypothalamic abnormalities,category,,MMS
7A42.4,Sleep-related hypoventilation due to a medication or substance,category,,MMS
7A42.5,Sleep-related hypoventilation due to medical condition,category,,MMS
7A42.6,Sleep-related hypoxemia due to a medical condition,category,,MMS
7A42.Z,"Sleep-related hypoventilation or hypoxemia disorders,unspecified",category,,MMS
7A4Z,"Sleep-related breathing disorders,unspecified",category,,MMS
7A82,Sleep-related leg cramps,category,,MMS
7A83,Sleep-related bruxism,category,,MMS
7A84,Sleep-related rhythmic movement disorder,category,,MMS
7A87,Sleep-related movement disorder due to a medical condition,category,,MMS
7A88,Sleep-related movement disorder due to a medication or substance,category,,MMS
7A8Z,"Sleep-related movement disorders,unspecified",category,,MMS
7B00.3,Sleep-related eating disorder,category,,MMS
7B02.1,Sleep-related hallucinations,category,,MMS
7B2Z,"Sleep-wake disorders,unspecified",category,,MMS
8A00,Parkinsonism,category,,MMS
8A00.24,Drug-induced Parkinsonism,category,,MMS
8A01.16,Drug-induced chorea,category,,MMS
8A01.20,Hemichorea,category,,MMS
8A01.21,Ballism,category,,MMS
8A01.22,Hemiballism,category,,MMS
8A02.10,Drug-induced dystonia,category,,MMS
8A02.11,dystonia-plus,category,,MMS
8A03.2,Non-hereditary degenerative ataxia,category,,MMS
8A03.2Z,"Non-hereditary degenerative ataxia,unspecified",category,,MMS
8A07.0,Stereotypies,category,,MMS
8A07.1,Akathisia,category,,MMS
8A40.0,relapsing-remitting multiple sclerosis,category,,MMS
8A44,Leukodystrophies,category,,MMS
8A44.0,Pelizaeus-Merzbacher disease,category,,MMS
8A44.1,Adrenoleukodystrophy,category,,MMS
8A62.1,Lennox-Gastaut syndrome,category,,MMS
8A66.1,Non-convulsive status epilepticus,category,,MMS
8A66.1Z,"Non-convulsive status epilepticus,unspecified",category,,MMS
8A80,Migraine,category,,MMS
8A81,Tension-type headache,category,,MMS
8A81.Z,"Tension-type headache,unspecified",category,,MMS
8B01.1,Non-aneurysmal subarachnoid haemorrhage,category,,MMS
8B22.9,Migraine-induced stroke,category,,MMS
8B24,Hypoxic-ischaemic encephalopathy,category,,MMS
8B41,Myelitis,category,,MMS
8B42,Myelopathy,category,,MMS
8B43,Non-compressive vascular myelopathies,category,,MMS
8B43.Z,"Non-compressive vascular myelopathies,unspecified",category,,MMS
8B44.02,X-linked hereditary spastic paraplegia,category,,MMS
8B93,Radiculopathy,category,,MMS
8C60.0,Drug-induced myasthenia gravis,category,,MMS
8C62,Lambert-Eaton syndrome,category,,MMS
8C70.2,Emery-Dreifuss muscular dystrophy,category,,MMS
8C70.4,Limb-girdle muscular dystrophy,category,,MMS
8C70.4Z,"Limb-girdle muscular dystrophy,unspecified",category,,MMS
8C71.3,Drug-induced myotonia,category,,MMS
8C71.4,Neuromyotonia,category,,MMS
8C71.5,Pseudomyotonia,category,,MMS
8C80,Drug-induced myopathy,category,,MMS
8D23,Worster-Drought syndrome,category,,MMS
8D43.20,Drug-induced Polyneuropathy,category,,MMS
8D44,Alcohol-related neurological disorders,category,,MMS
8D44.Z,"Alcohol-related neurological disorders,unspecified",category,,MMS
8D64,Hydrocephalus,category,,MMS
8D64.04,Normal-pressure Hydrocephalus,category,,MMS
8D64.1,Non-communicating Hydrocephalus,category,,MMS
8D64.1Z,"Non-communicating Hydrocephalus,unspecified",category,,MMS
8D64.2,Ex-vacuo Hydrocephalus,category,,MMS
8D66.2,Syringobulbia,category,,MMS
8E01.1,Kuru,category,,MMS
8E02.1,Gerstmann-Straussler-Scheinker syndrome,category,,MMS
8E02.Z,"Creutzfeldt-Jakob disease,unspecified",category,,MMS
8E40.3,Arachnoiditis,category,,MMS
8.00E+41,Pachymeningitis,category,,MMS
8.00E+45,Locked-in syndrome,category,,MMS
8.00E+65,Anoxic-ischaemic encephalopathy,category,,MMS
9A00.1,Telecanthus,category,,MMS
9A01.2,Hordeolum,category,,MMS
9A02.0,Chalazion,category,,MMS
9A03.0,Blepharoptosis,category,,MMS
9A03.00,Marcus-Gunn syndrome,category,,MMS
9A03.4,Lagophthalmos,category,,MMS
9A06.8,Blepharochalasis,category,,MMS
9A10.3,Hyperlacrimation,category,,MMS
9A11.1,Canaliculitis,category,,MMS
9A11.2,Dacryocystitis,category,,MMS
9A11.3,Conjunctivochalasis,category,,MMS
9A11.6,Dacryolith,category,,MMS
9A20.1,Non-Axial displacement of eyeball,category,,MMS
9A60,Conjunctivitis,category,,MMS
9A60.4,Blepharoconjunctivitis,category,,MMS
9A61.0,Pingueculae,category,,MMS
9A61.1,Pterygium,category,,MMS
9A78.50,Keratoconus,category,,MMS
9A80,Hyphaema,category,,MMS
9A96.2,infection-associated anterior uveitis,category,,MMS
9B02,Light-near dissociations,category,,MMS
9B02.Z,"Light-near dissociations,unspecified",category,,MMS
9B10,Cataract,category,,MMS
9B10.0,Age-related Cataract,category,,MMS
9B10.0Z,"Age-related Cataract,unspecified",category,,MMS
9B10.22,After-Cataract,category,,MMS
9B11.0,Aphakia,category,,MMS
9B50,Episcleritis,category,,MMS
9B51,Scleritis,category,,MMS
9B65,Choroiditis,category,,MMS
9B71,Retinopathy,category,,MMS
9B73.1,Retinoschisis,category,,MMS
9B75.1,Non-traumatic macular hole,category,,MMS
9C20,Panuveitis,category,,MMS
9C21,Endophthalmitis,category,,MMS
9C40.2,Neuroretinitis,category,,MMS
9C40.A0,Papilloedema,category,,MMS
9C61,Glaucoma,category,,MMS
9C61.22,Lens-induced secondary open-angle Glaucoma,category,,MMS
9C61.25,Glaucomato-cyclitic crisis,category,,MMS
9C80.0,Esotropia,category,,MMS
9C80.1,Exotropia,category,,MMS
9C80.4,Heterophoria,category,,MMS
9C84,Nystagmus,category,,MMS
9C84.4,Gaze-evoked Nystagmus,category,,MMS
9C84.52,Convergence-retraction Nystagmus,category,,MMS
9D00.0,Myopia,category,,MMS
9D00.1,Hypermetropia,category,,MMS
9D00.2,Astigmatism,category,,MMS
9D00.3,Presbyopia,category,,MMS
9D00.4,Anisometropia,category,,MMS
9D00.5,Aniseikonia,category,,MMS
9D42.5,Para-central scotoma,category,,MMS
9D42.70,Bi-nasal defects heteronymous hemianopia or quadrant anopia,category,,MMS
9D42.71,Bi-temporal defects heteronymous hemianopia or quadrant anopia,category,,MMS
AA03,Otomycosis,category,,MMS
AB11.2,Petrositis,category,,MMS
AB16,Tympanosclerosis,category,,MMS
AB30.1,Labyrinthitis,category,,MMS
AB33,Otosclerosis,category,,MMS
AB54,Presbycusis,category,,MMS
AB70.0,Otorrhoea,category,,MMS
AB70.1,Otorrhagia,category,,MMS
AB70.2,Otalgia,category,,MMS
BB20.2,Myopericarditis,category,,MMS
BB24,Haemopericardium,category,,MMS
BB41,Myoendocarditis,category,,MMS
BB42,Periendocarditis,category,,MMS
BC42,Myocarditis,category,,MMS
BC43,Cardiomyopathy,category,,MMS
BC43.00,Familial-genetic dilated Cardiomyopathy,category,,MMS
BC43.10,Familial-genetic hypertrophic Cardiomyopathy,category,,MMS
BC43.11,Non-obstructive hypertrophic Cardiomyopathy,category,,MMS
BC43.5,Stress-induced Cardiomyopathy,category,,MMS
BC45,Cardiomegaly,category,,MMS
BC63.10,High-grade second degree atrioventricular block,category,,MMS
BC71.03,Non-sustained ventricular tachycardia,category,,MMS
BC71.2,Re-entry ventricular arrhythmia,category,,MMS
BC81.21,"Non-scar,Non-isthmus dependent macro reentrant atrial tachycardia",category,,MMS
BC81.4,Wolff-Parkinson-White syndrome,category,,MMS
BD41,Non-atherosclerotic chronic arterial occlusive disease,category,,MMS
BD41.Z,"Non-atherosclerotic chronic arterial occlusive disease,unspecified",category,,MMS
BD74.2,Lipodermatosclerosis,category,,MMS
BD90,lymphadenitis,category,,MMS
BD91,Lymphangitis,category,,MMS
BD92,Lymphangiectasia,category,,MMS
BD93,Lymphoedema,category,,MMS
CA08.1,Non-allergic rhinitis,category,,MMS
CA08.10,Non-allergic rhinitis with eosinophils,category,,MMS
CA08.1Z,"Non-allergic rhinitis,unspecified",category,,MMS
CA20,Bronchitis,category,,MMS
CA21,Emphysema,category,,MMS
CA23,Asthma,category,,MMS
CA23.1,Non-allergic Asthma,category,,MMS
CA23.10,Non-allergic Asthma with exacerbation,category,,MMS
CA23.11,Non-allergic Asthma with status asthmaticus,category,,MMS
